Name,ID,URL,Country,Status,PIU Issuance,Developer,Validator,Start Year,End Year,Duration,Area,Emission Reductions,Claimable Emission Reductions,Latitude,Longitude,Subarea; Blanket Bog; Actively Eroding: Hagg/Gully,Subarea; Blanket Bog; Actively Eroding: Flat Bare,Subarea; Blanket Bog; Drained: Artificial,Subarea; Blanket Bog; Drained: Hagg/Gully,Subarea; Blanket Bog; Modified,Subarea; Blanket Bog; Near Natural,Subarea; Raised Bog; Actively Eroding: Hagg/Gully,Subarea; Raised Bog; Actively Eroding: Flat Bare,Subarea; Raised Bog; Drained: Artificial,Subarea; Raised Bog; Drained: Hagg/Gully,Subarea; Raised Bog; Modified,Subarea; Raised Bog; Near Natural,Subarea; Cropland; Drained,Subarea; Grassland; Intensive Drained,Subarea; Grassland; Extensive Drained,Subarea; Fen; Modified
Abergwesyn Hill,104000000027000,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027000,Wales,Under Development,Unissued,National Trust,Organic Farmers & Growers C.I.C.,2025,2055,30,143.5,11054,9396,52.220808,-3.681947,7.65,2.35,0.0,108.2,25.3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Achnacarry Estate (Phase 1),104000000026990,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026990,Scotland,Validated,Issued,Caledonian Climate,Organic Farmers & Growers C.I.C.,2022,2122,100,119.89,41432,35217,56.991673,-5.056694,7.26,5.49,0.0,107.14,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Achnacarry Estate (Phase 2),104000000028524,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028524,Scotland,Under Development,Unissued,Caledonian Climate,Soil Association Certification Ltd,2025,2099,74,164.61,34335,29185,57.006974,-5.199627,10.52,0.25,0.0,153.84,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Achnacarry Estate (Phase 3),104000000028571,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028571,Scotland,Under Development,Unissued,Caledonian Climate,Soil Association Certification Ltd,2025,2125,100,82.02,24791,21072,56.988095,-5.303391,6.23,0.21,0.0,75.58,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Achnacarry Estate (Phase 4),104000000028572,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028572,Scotland,Under Development,Unissued,Caledonian Climate,Soil Association Certification Ltd,2025,2125,100,109.58,34625,29431,56.952471,-5.186727,7.61,1.96,0.0,100.01,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Achnacarry Estate (Phase 5),104000000028558,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028558,Scotland,Under Development,Unissued,Caledonian Climate,Soil Association Certification Ltd,2025,2117,92,57.88,15658,13309,56.928103,-5.046558,0.29,3.95,0.0,53.64,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Airds Moss Central 1,104000000029094,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029094,Scotland,Under Development,Unissued,RSPB,Soil Association Certification Ltd,2025,2125,100,21.84,7561,6427,55.487919,-4.215647,2.49,0.0,7.44,11.91,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Allt a' Choire Mhoir,104000000028299,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028299,Scotland,Under Development,Unissued,Angus Davidson Ltd,Organic Farmers & Growers C.I.C.,2025,2106,81,163.209,30018,25515,57.662511,-5.005633,4.933,0.0,35.52,122.756,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
"Allt Coire an-t Sneachda, Cairngorm",104000000028085,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028085,Scotland,Under Development,Unissued,Forestry and Land Scotland,Organic Farmers & Growers C.I.C.,2025,2080,55,30.26,4417,3755,57.133541,-3.680518,1.66,0.0,0.0,28.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Allt Gharagain,104000000028288,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028288,Scotland,Under Development,Unissued,Angus Davidson Ltd,Organic Farmers & Growers C.I.C.,2025,2121,96,185.17,44164,37539,57.510979,-5.138446,7.38,0.76,0.0,177.03,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Ardtalla Area 1,104000000028542,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028542,Scotland,Validated,Unissued,Forest Carbon Ltd,Soil Association Certification Ltd,2025,2125,100,108.181,19473,16552,55.673613,-6.057221,0.0,0.0,108.181,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Armboth,104000000028852,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028852,England,Under Development,Unissued,National Trust,N/A,2025,2055,30,25.3,1385,1143,54.540521,-3.103555,0.02,0.02,4.19,21.07,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Badan Seasgach,104000000028278,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028278,Scotland,Validated,Unissued,Angus Davidson Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,74.788,28095,23881,57.839574,-5.005211,8.984,0.414,0.0,65.39,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Ballindalloch Estate,104000000028066,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028066,Scotland,Under Development,Unissued,Ballindalloch Trust,N/A,2025,2060,35,230.9,27337,23236,57.392473,-3.287163,23.21,0.26,26.47,180.96,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Ben Lui Corrie,104000000028481,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028481,Scotland,Restoration Validated,Unissued,Forest Carbon Ltd,Organic Farmers & Growers C.I.C.,2025,2075,50,155.32,19555,16622,56.373673,-4.810997,0.97,0.08,100.86,53.41,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Ben Wyvis-upper Peffery,104000000029024,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029024,Scotland,Under Development,Unissued,NatureScot,"SAC Consulting, SRUC",2025,2125,100,165.16,43054,36596,57.644677,-4.593531,6.58,0.14,43.58,114.86,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 1,104000000028385,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028385,Scotland,Validated,Issued,Land Carbon Ltd,Organic Farmers & Growers C.I.C.,2022,2122,100,140.17,28609,24318,58.478412,-3.999472,2.17,0.0,101.9,36.1,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 10,104000000029046,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029046,Scotland,Under Development,Unissued,Land Carbon Ltd,N/A,2025,2125,100,111.572,30625,26032,58.447683,-3.831509,0.447,0.0,95.832,15.293,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 11,104000000029069,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029069,Scotland,Under Development,Unissued,Land Carbon Ltd,N/A,2025,2105,80,152.802,33335,28335,58.465217,-3.861566,0.368,0.0,143.567,8.867,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 12,104000000029070,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029070,Scotland,Under Development,Unissued,Land Carbon Ltd,N/A,2025,2110,85,160.169,37161,31587,58.478556,-3.870847,0.423,0.0,155.473,4.273,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
